timestamp, userId, event, message
2025-11-10T21:08:58.541142773+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/start_tracking
2025-11-10T21:08:58.543041100+01:00[Europe/Vienna], brave-otter, START_TRACKING, previously tracking: false
2025-11-10T21:09:00.099613131+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/stop_tracking
2025-11-10T21:09:00.101741284+01:00[Europe/Vienna], brave-otter, STOP_TRACKING, previously tracking: true
2025-11-10T21:09:08.329150913+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:11:31.978003906+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:11:33.918092505+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/start_tracking
2025-11-10T21:11:33.920544549+01:00[Europe/Vienna], brave-otter, START_TRACKING, previously tracking: false
2025-11-10T21:11:34.632069613+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/stop_tracking
2025-11-10T21:11:34.634305999+01:00[Europe/Vienna], brave-otter, STOP_TRACKING, previously tracking: true
2025-11-10T21:11:36.094603425+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:11:36.803575575+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
